,name,price,deskripsi,isi_deksripsi
11,Durex Play Tingle 100 ml,Rp63.500 - Rp101.100,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"DUREX PLAY TINGLE 100ML merupakan pelumas untuk area vital yang digunakan ketika berhubungan seksual.**Sebagai pelumas pada saat berhubungan**Aqua, propylene glycol, hydroxyethylcellulose, benzoic acid, sodium hydroxide**Sesuai kebutuhan**Dioleskan pada alat kelamin pria**Jika Anda mengalami iritasi, berhentilah menggunakannya. Jika iritasi masih berlanjut atau Anda ketagihan/kecanduan untuk selalu menggunakannya, segera hubungi dokter.**Alat Kesehatan & Medis Habis Pakai**Tube 100 ml**SSL International**Kemenkes RI: AKL21104716666"
12,Fiesta Earthquake 6 Pieces,Rp39.700 - Rp73.900,Komposisi**Golongan Produk**Kemasan**Manufaktur,"lateks alami**Produk Konsumen**Dus, Isi 6 Buah Kondom Dan 1 Ring Vibrator (Ring Penggetar)**DKT International"
13,Fiesta Lubricant Gel 50 ml,Rp40.500 - Rp44.600,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"FIESTA LUBRICANT GEL adalah produk pelumas yang berfungsi sebagai cairan pelicin dan digunakan untuk membantu mengurangi rasa sakit atau iritasi pada daerah kewanitaan akibat gesekan berlebih ketika berhubungan seksual.**Sebagai pelumas**Propylene glycol USP, glyceril USP, Hydroxyethyl cellulose, sodium benzoat, polysorbate 20, disodium EDTA, lactic acid, purified water**Sesuai kebutuhan**Tuangkan Fiesta Lubricant Gel secukupnya pada jari tangan, Untuk pemakaian pada organ intim wanita, oleskan pelumas pada bibir bagian dalam organ kewanitaan Untuk pemakaian pada organ intim pria, oleskan pelumas pada bagian kepala dan batang organ intim pria Untuk pemakaian jika menggunakan kondom, oleskan pada bagian luar kondom yang sudah terpasang pada organ intim pria**Alat Kesehatan & Medis Habis Pakai**Tube @ 50 ml**DKT International**Kemenkes RI: AKL21104712353"
14,K-Y Jelly Personal Lubricant 82 G,Rp73.500 - Rp126.400,Indikasi Umum**Komposisi**Dosis**Golongan Produk**Kemasan**Manufaktur,"Pelumas terbaik untuk pelumasan (pelicin) maksimal pada organ vital dan dubur.**Gliserin, Hidroksietil Selulosa, Methylparaben danNatrium Hidroksida**Gunakan sesuai kebutuhan**Produk Konsumen**Tube 82 g x 1**Reckitt Benckiser"
15,K-Y Lubricating Jelly 42 Gr,Rp42.600 - Rp55.400,Komposisi**Golongan Produk**Manufaktur**No. Registrasi,"Gliserin, Hidroksietil Selulosa, Methylparaben Dan Natrium Hidroksida**Alat Kesehatan & Medis Habis Pakai**Reckitt Benckiser**Kemenkes RI: AKL21104714815"
16,Kondom Andalan Isi 12,Rp10.900 - Rp20.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM ANDALAN ISI 12 merupakan alat kontrasepsi berbentuk kondom yang terbuat dari bahan dasar lateks dengan lapisan bahan sangat tipis yang berfungsi untuk mencegah kehamilan dan penularan penyakit seksual.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus @ 2 Pieces**DKT International**Kemenkes RI: AKL21104513874"
17,Kondom Andalan Isi 3,Rp5.200 - Rp10.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM ANDALAN ISI 3 merupakan alat kontrasepsi berbentuk kondom yang terbuat dari bahan dasar lateks dengan lapisan bahan sangat tipis yang berfungsi untuk mencegah kehamilan dan penularan penyakit seksual.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus @ 3 Pieces**DKT International**Kemenkes RI: AKL21104513874"
18,Kondom Arjoena Jempol isi 12,Rp22.900 - Rp30.400,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Alat Kesehatan & Medis Habis Pakai**Dus isi 12**None**Kemenkes RI: AKL21104714929
19,Kondom Arjoena Jempol isi 3,Rp5.400 - Rp10.400,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Alat Kesehatan & Medis Habis Pakai**Dus isi 3**None**Kemenkes RI: AKL21104714929
20,Kondom Artika Gerigi Isi 3,Rp6.000 - Rp12.200,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Alat Kesehatan & Medis Habis Pakai**Dus @ 3 pieces**None**Kemenkes RI: AKD21105600830
21,Kondom Catheter Size L,Rp3.700 - Rp11.700,Indikasi Umum**Komposisi**Golongan Produk**Kemasan**Manufaktur,"Alat drainase urine eksternal yang mudah untuk digunakan dan aman untuk mengalirkan urine pada klien pria. Kondom kateter ini lunak,berupa selaput karet yang lembut yang disarungkan ke penis, dan cocok untuk klien inkontinensia atau koma yang masih mempunyai kemampuan mengosongkan kandung kemih spontan dan komplit. Kateter ini tersedia dalam jenis indwelling (foley) karena drainase dipertahankan dengan sedikit risiko terhadap infeksi.**Latex**Produk Konsumen**Pack**OneMed"
22,Kondom Catheter Size M,Rp3.500 - Rp10.500,Komposisi**Golongan Produk**Kemasan**Manufaktur,Latex**Produk Konsumen**Pack @ 1 Piece**OneMed
23,Kondom Catheter Size S,Rp3.500 - Rp7.200,Komposisi**Golongan Produk**Kemasan**Manufaktur,Latex**Produk Konsumen**Pack @ 1 Piece**OneMed
24,Kondom Durex Close Fit Isi 12,Rp35.600 - Rp76.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Kondom Durex Close Fit merupakan alat kontrasepsi yang digunakan oleh pria saat berhubungan intim.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai.**-**-**Alat Kesehatan & Medis Habis Pakai**Pack @ 12 Pieces**Reckitt Benckiser**Kemenkes RI: AKL21105214098"
25,Kondom Durex Comfort Isi 3,Rp25.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,KONDOM DUREX COMFORT merupakan alat kontrasepsi untuk pria dengan bentuk kondom yang unik dan berukuran lebih besar dari jenis kondom lainnya sehingga dapat membantu memberikan kenyamanan saat digunakan. Kondom ini terbuat dari bahan dasar lateks alami yang lembut dan memiliki ukuran panjang 178 mm dengan ketebalan 0.065 mm.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim.**Digunakan pada kelamin pria saat berhubungan intim.**Alat Kesehatan & Medis Habis Pakai**Dus Isi 3**Reckitt Benckiser**Kemenkes RI: AKL21105214181
26,Kondom Durex Excita Ribbed Isi 3,Rp18.000 - Rp27.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX EXCITA RIBBED ISI 3 merupakan alat kontrasepsi berbentuk kondom yang di rancang khusus dengan tekstur bergaris / bergerigi (Ribbed) yang menonjol di bagian permukaan luar kondom untuk membantu memberikan rangsangan lebih pada organ sensitif wanita sehingga dapat meningkatkan kepuasan saat berhubungan.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3 Pcs**Reckitt Benckiser**Kemenkes RI: AKL21105214072"
27,Kondom Durex Fetherlite 24 Pieces,Rp137.500 - Rp138.600,Deskripsi**Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Kondom Durex Fetherlite merupakan alat kontrasepsi yang dihasilkan dari bahan lateks berkualitas yang didesain ekstra tipis untuk menunjang kenikmatan selama berhubungan intim**Alat kontrasepsi**Alat Kesehatan & Medis Habis Pakai**Pack @ 24 Piece**Reckitt Benckiser**Kemenkes RI: AKL21105214071
28,Kondom Durex Ribbed Isi 3,Rp23.200 - Rp27.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX RIBBED merupakan alat kontrasepsi yang di gunakan oleh pria.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3**Reckitt Benckiser**Kemenkes RI: AKL21105214072"
29,Kondom Durex Select Isi 3,Rp15.000 - Rp38.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX SELECT ISI 3 merupakan alat kontrasepsi berbentuk kondom berbahan dasar lateks alami dan transparan yang mencegah kemungkinan iritasi dan kebocoran**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim.**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3**Reckitt Benckiser**Kemenkes RI: AKL21105214180"
30,Kondom Durex Strawberry Isi 3,Rp18.000 - Rp29.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX STRAWBERRY ISI 3 merupakan alat kontrasepsi berbentuk kondom dengan aroma buah strawberry berbahan lateks alami yang dapat menambah kenikmatan dan kenyamanan saat berhubungan.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim.**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3**Reckitt Benckiser**Kemenkes RI: AKL21105212420"
31,Kondom Durex Tingle Isi 3,Rp20.600 - Rp28.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX TINGLE ISI 3 merupakan alat kontrasepsi berbentuk kondom yang memiliki pelumas dengan kandungan mint yang memberikan sensasi segar dan dingin menjadikan hubungan lebih bergairah. Memikiki Fitur Easy-On shape yang mengikuti bentuk organ intim pria sehingga pas dan nyaman dipakai.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3 Pcs**Reckitt Benckiser**Kemenkes RI: AKL21105214070"
32,Kondom Durex Together Isi 12,Rp74.900 - Rp82.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM DUREX TOGETHER ISI 12 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack @ 12 Pieces**Reckitt Benckiser**Kemenkes RI: AKL21105214179"
33,Kondom Fiesta All Night Isi 3,Rp9.800 - Rp17.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA ALL NIGHT ISI 3 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack @ 3 Pieces**DKT International**Kemenkes RI: AKL21104512040"
34,Kondom Fiesta Baggy isi 3,Rp8.400 - Rp12.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur,"-**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Produk Konsumen**Pack Isi 3**DKT International"
35,Kondom Fiesta Banana Isi 3,Rp11.100 - Rp21.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA BANANA ISI 3 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus @ 3 Pieces**DKT International**Kemenkes RI: AKL21104511286"
36,Kondom Fiesta Black Coffee Isi 3,Rp13.500 - Rp17.400,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Alat kontrasepsi**Digunakan pada kelamin pria saat berhubungan intim**Alat Kesehatan & Medis Habis Pakai**Pack @ 3 Pieces**DKT International**Kemenkes RI: AKL21104124319
37,Kondom Fiesta Classic isi 3,Rp7.800 - Rp12.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur,"KONDOM FIESTA CLASSIC ISI 3 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack @ 3 Pieces**DKT International"
38,Kondom Fiesta Dotted Isi 12,Rp53.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA DOTTED ISI 12 merupakan alat kontrasepsi berbentuk kondom yang dilengkapin dengan gerigi sehingga memberikan efek rangsangan yang lebih saat berhubungan seksual.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack Isi 12**DKT International**Kemenkes RI: AKL21104511289"
39,Kondom Fiesta Dotted Isi 3,Rp17.800,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA DOTTED merupakan alat kontrasepsi yang digunakan oleh pria.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus @ 3 Pieces**DKT International**Kemenkes RI: AKL21104511289"
40,Kondom Fiesta Durian Isi 3,Rp9.700 - Rp19.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA DURIAN ISI 3 merupakan alat kontrasepsi berbentuk kondom dengan aroma buah strawberry berbahan lateks alami yang dapat menambah kenikmatan dan kenyamanan saat berhubungan.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus Isi 3**DKT International**Kemenkes RI: AKL21104511354"
41,Kondom Fiesta Max Dotted Isi 12,Rp60.200 - Rp66.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA MAX DOTTED ISI 12 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus @ 12 Pieces**DKT International**Kemenkes RI: AKL21104513938"
42,Kondom Fiesta Mint Isi 3,Rp8.700 - Rp15.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur,"KONDOM FIESTA MINT ISI 3 merupakan alat kontrasepsi yang di gunakan oleh pria**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Pack @ 3 Pieces**DKT International"
43,Kondom Fiesta Neon Isi 3,Rp11.200 - Rp19.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"KONDOM FIESTA NEON ISI 3 merupakan alat kontrasepsi berbentuk kondom yang dapat memancarkan cahaya sehingga memberikan sensasi berhubungan dalam ruang gelap.**Alat kontrasepsi**Latex**Sesuai kebutuhan. Digunakan saat berhubungan intim.**Digunakan pada kelamin pria saat berhubungan intim**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai**-**-**Alat Kesehatan & Medis Habis Pakai**Dus Isi 3**DKT International**Kemenkes RI: AKL21104513427"
